hid,smiles,CAS,compatible_with_gen_2
B001,C[N+]12CC(=O)O[B-]1(/C=C/c1ccc(Br)cc1)OC(=O)C2,1152428-02-8,False
B002,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,2346599-94-6,False
B003,C[N+]12CC(=O)O[B-]1(/C=C/Br)OC(=O)C2,1104636-68-01,False
B004,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,51067-38-0,False
B005,C[N+]12CC(=O)O[B-]1(c1cncc(Br)c1)OC(=O)C2,1835721-30-6,False
B006,C[N+]12CC(=O)O[B-]1(c1occc1Br)OC(=O)C2,1357387-27-9,False
B007,Cn1ncc(Br)c1[B-]12OC(=O)C[N+]1(C)CC(=O)O2,108238-09-1,False
B008,C[N+]12CC(=O)O[B-]1(c1ccccc1I)OC(=O)C2,1765-93-1,False
B009,C[N+]12CC(=O)O[B-]1(c1cccc(I)c1)OC(=O)C2,1287221-37-7,False
B010,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,1257647-82-7,False
B011,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,2081092-84-2,False
B012,C[N+]12CC(=O)O[B-]1(c1cc(F)cc(Br)c1)OC(=O)C2,1257650-61-5,False
B013,C[N+]12CC(=O)O[B-]1(c1cc(Br)ccc1C#N)OC(=O)C2,,False
B014,COc1cc(I)cc([B-]23OC(=O)C[N+]2(C)CC(=O)O3)c1,,False
B015,C[N+]12CC(=O)O[B-]1(c1sc3ccccc3c1Br)OC(=O)C2,1104636-80-7,False
B016,C[N+]12CC(=O)O[B-]1(c1cc(Cl)cc(Br)c1)OC(=O)C2,,False
B017,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccc(Br)s3)s1)OC(=O)C2,1104636-79-4,False
B018,C[N+]12CC(=O)O[B-]1(c1ccc(Br)nc1)OC(=O)C2,1816951-75-3,False
B019,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cn1)OC(=O)C2,1227700-50-6,False
B020,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,1257650-76-2,False
B021,C[N+]12CC(=O)O[B-]1(c1ccc(I)cc1)OC(=O)C2,1257649-56-1,False
B022,C[N+]12CC(=O)O[B-]1(c1cc(Br)ccc1F)OC(=O)C2,,False
