hid,smiles,CAS,compatible_with_gen_2
C001,Brc1ccc(-c2ccc(Br)cc2)cc1,92-86-4,True
C002,Ic1ccc(I)cc1,624-38-4,True
C003,Cc1cc(Br)c(C)cc1Br,1074-24-4,True
C004,Fc1c(F)c(-c2c(F)c(F)c(Br)c(F)c2F)c(F)c(F)c1Br,10386-84-2,True
C005,CC1(C)c2cc(Br)ccc2-c2ccc(Br)cc21,,True
C006,O=C1c2cc(Br)ccc2-c2ccc(Br)cc21,14348-75-5,True
C007,Brc1ccc2c(c1)[nH]c1cc(Br)ccc12,,True
C008,Brc1c2ccccc2c(Br)c2ccccc12,523-27-3,True
C009,Brc1c2ccccc2c(-c2c3ccccc3c(Br)c3ccccc23)c2ccccc12,,True
C010,Brc1ccc2cc(Br)ccc2c1,,True
C011,Brc1cc2sc(Br)cc2s1,,True
C012,Brc1ccc(Br)c2nsnc12,,True
C013,Brc1cnc(Br)c2nsnc12,,True
C014,Fc1c(F)c(Br)c(F)c(Br)c1F,"27516-63-8
1559-87-1",True
C015,Nc1cc(Br)ccc1-c1ccc(Br)cc1N,,True
C016,Brc1ccc(-c2ccc(-c3ccc(Br)cc3)cc2)cc1,,True
C017,Cc1cc(-c2ccc(Br)cc2)c(C)cc1-c1ccc(Br)cc1,,True
C018,Fc1cc(Br)ccc1Br,1435-52-5,True
C019,Fc1c(F)c(Br)c(F)c(F)c1Br,344-03-6,True
C020,COc1cc(Br)c(OC)cc1Br,2674-34-2,True
C021,FC(F)(F)c1cc(Br)ccc1Br,7657-09-2,True
C022,O=[N+]([O-])c1cc(Br)ccc1Br,3460-18-2,True
C023,Nc1cc(Br)ccc1Br,3638-73-1,True
C024,Brc1ccc(Br)c2nccnc12,,True
C025,Brc1ccc(Br)s1,3141-27-3,True
C026,O=[N+]([O-])c1c(Br)sc(Br)c1[N+](=O)[O-],52431-30-8,True
C027,Brc1sc(Br)c2c1OCCO2,,True
C028,Fc1cc(Br)c(F)cc1Br,327-51-5,True
C029,Cc1cc(Br)ccc1Br,615-59-8,True
C030,O=C(O)c1cc(Br)ccc1Br,610-71-9,True
C031,Brc1ccc(Br)nn1,17973-86-3,True
C032,FC(F)(F)c1cc(Br)ncc1Br,,True
C033,Brc1cnc(Br)nc1,,True
C034,Brc1ccc2ccc(Br)cc2c1,,True
C035,Brc1ccccc1-c1ccccc1Br,13029-09-9,True
C036,Brc1cccc(Br)c1,108-36-1,True
C037,Brc1ccsc1-c1sccc1Br,,True
C038,Brc1ccc(-c2ccc(-c3ccc(Br)s3)s2)s1,98057-08-0,True
C039,Brc1cccc(-c2cccc(-c3cccc(Br)n3)n2)n1,,True
C040,Brc1cccc(-c2cccc(Br)n2)n1,,True
C041,Brc1cccc(Br)n1,626-05-1,True
C042,Oc1cc(Br)c(O)cc1Br,14753-51-6,True
C043,Fc1cc(Br)c2nsnc2c1Br,,True
C044,O=S(=O)(F)c1cc(Br)ccc1Br,,True
C045,OCc1cc(Br)nc(Br)c1,,True
C046,Fc1cc(OCc2ccccc2)c(Br)cc1Br,,True
C047,FC(F)(F)Oc1ccc(Br)c(Br)c1,,True
C048,CS(=O)(=O)c1ccc(Br)c(Br)c1,,True
C049,FC(F)(F)Oc1cc(Br)cc(Br)c1,207226-31-1,True
C050,FC(F)(F)c1cc(Br)cc(Br)c1,,True
C051,COC(=O)c1nc(N)c(Br)cc1Br,,True
C052,CS(=O)(=O)c1cc(Br)cc(Br)c1,,True
C053,Brc1cc(Br)cc(Oc2ccccc2)c1,,True
C054,CC(C)(C)c1cc(Br)cc(Br)c1,,True
C055,Cc1c(Br)ccc(Br)c1C,,True
C056,CCCCCCCCCCOc1cc(Br)c(OCCCCCCCCCC)cc1Br,,True
C057,CCc1cc(Br)c(CC)cc1Br,,True
C058,CCCCCCc1cc(Br)c(CCCCCC)cc1Br,,True
C059,CCc1cc(Br)ccc1Br,,True
C060,Fc1cc(Br)cc(F)c1Br,,True
C061,Brc1ccc(Br)c2ccccc12,83-53-4,True
C062,Fc1c(Br)cc(Br)c(F)c1F,,True
C063,Brc1ccc(OCC2CCCCO2)c(Br)c1,,True
C064,N#CCc1cc(Br)ccc1Br,,True
C065,Cc1csc(Br)c1Br,,True
C066,Cc1cnc(Br)c(Br)c1,29232-39-1,True
C067,COc1cccc(Br)c1Br,,True
C068,Brc1sc2ccccc2c1Br,6287-82-7,True
C069,Brc1ccoc1Br,,True
C070,Brc1ccsc1Br,3140-93-0,True
C071,Fc1ccc(Br)cc1Br,1435-53-6,True
C072,CSc1cc(F)c(Br)cc1Br,,True
C073,Nc1c(Br)cc(Br)cc1C(F)(F)F,71757-14-7,True
C074,Cc1cc(Br)cc(Br)c1O,609-22-3,True
C075,O=C(O)Cc1ccc(Br)cc1Br,,True
C076,N#Cc1ccc(Br)cc1Br,,True
C077,CNc1ccc(Br)cc1Br,,True
C078,Brc1csc(Br)n1,4175-77-3,True
C079,Cc1ccc(Br)cc1Br,31543-75-6,True
C080,Brc1nnc(Br)s1,,True
