Identifier,SMILES,Synthesis Procedure,Optical Measurements,Absorption Wavelength (nm),Emission Wavelength (nm),Photoluminescence Quantum Yield,Photoluminescence Lifetime (ns),Spectral Gain Factor (cm^2 s),Emission Gain Cross Section (cm^2)
A001B003C001,C(=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)\c1ccc(-c2ccc(/C=C/c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc2)cc1,Wu et al. 2023,Full Characterization,364.4062715110789,444.3649274137839,0.8488425575061659,1.167852587304393,,1.784701352487191e-16
A001B003C002,C(=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)\c1ccc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,Wu et al. 2023,Full Characterization,370.644741107316,449.7705597156153,0.952732977498755,1.326106010239319,,1.7974428356242126e-16
A001B003C003,Cc1cc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)c(C)cc1/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1,Wu et al. 2023,Full Characterization,369.08556731598526,455.172571993872,0.963290302346506,1.2432569989842444,,2.197381226973723e-16
A001B003C004,Fc1c(F)c(-c2c(F)c(F)c(/C=C/c3ccc(-n4c5ccccc5c5ccccc54)cc3)c(F)c2F)c(F)c(F)c1/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1,Wu et al. 2023,Full Characterization,361.28526223906704,543.4018242255393,0.4990179438932783,2.6058556280711582,,6.009277841515412e-17
A001B003C005,CC1(C)c2cc(/C=C/c3ccc(-n4c5ccccc5c5ccccc54)cc3)ccc2-c2ccc(/C=C/c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc21,Wu et al. 2023,Full Characterization,381.5506774102856,445.9097631866412,0.912415852413358,1.034582032836112,,2.616549502014667e-16
A001B003C006,O=C1c2cc(/C=C/c3ccc(-n4c5ccccc5c5ccccc54)cc3)ccc2-c2ccc(/C=C/c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc21,Wu et al. 2023,Full Characterization,373.762201500308,445.13738224084034,0.0535697612459454,1.1216416413499872,,3.2396781574405954e-18
A001B003C007,C(=C/c1ccc2c(c1)[nH]c1cc(/C=C/c3ccc(-n4c5ccccc5c5ccccc54)cc3)ccc12)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,Wu et al. 2023,Full Characterization,382.329118403218,444.3649274137839,0.871318698292043,1.0116145843111473,,2.585314141823235e-16
A001B003C008,C(=C/c1c2ccccc2c(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2ccccc12)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,Wu et al. 2023,Full Characterization,326.87607280555886,447.4543034366252,0.1686602543213193,1.3049378623534678,,1.876531984054019e-17
A001B003C010,C(=C/c1ccc2cc(/C=C/c3ccc(-n4c5ccccc5c5ccccc54)cc3)ccc2c1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,Wu et al. 2023,Full Characterization,371.4242171034669,448.2264627418828,0.9338046176867394,1.2807683678704855,,1.7584851465320108e-16
A001B003C011,C(=C/c1cc2sc(/C=C/c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc2s1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,Wu et al. 2023,Full Characterization,413.406145534436,490.5814655991499,0.6839295660936227,1.10859956160112,,2.3407751361135686e-16
A001B003C012,C(=C/c1ccc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2nsnc12)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,Wu et al. 2023,Full Characterization,340.9698641162592,611.0134813022098,0.9007011720422693,5.356457609405307,,9.21892354585624e-17
A001B003C013,C(=C/c1cnc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2nsnc12)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,Wu et al. 2023,Full Characterization,340.1875043416194,657.0165589276587,0.1798218043085346,1.5661556612810077,,6.305738989148713e-17
