molecule_id,created_on,updated_on,hid,smiles,smiles_wo_block,commercially_available,CAS,molecule_type_id
c316176a-ff1c-403b-afcd-3d67cf778018,2022-01-18T13:04:53.193586,2022-01-18T13:04:53.193586,B001,C[N+]12CC(O[B-]1(OC(C2)=O)/C=C/c3ccc(Br)cc3)=O,C/C=C/c1ccc(C)cc1,TRUE,1152428-02-8,fea52f4d-1371-42c2-96d6-dfc177e9ae22
80ae3faf-ebe1-4306-ab0b-7546691d09ab,2022-01-18T13:05:01.668996,2022-01-18T13:05:01.668996,B002,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,Cc1c(C)ccs1,TRUE,2346599-94-6,fea52f4d-1371-42c2-96d6-dfc177e9ae22
45cb409f-376c-4f89-8ee7-79595d2668e7,2022-01-18T13:05:10.148102,2022-01-18T13:05:10.148102,B003,C[N+]12CC(O[B-]1(OC(C2)=O)/C=C/Br)=O,C/C=C/C,TRUE,1104636-68-01,fea52f4d-1371-42c2-96d6-dfc177e9ae22
948455a0-8065-471a-9e3f-88e96a71effd,2022-01-18T13:05:18.617578,2022-01-18T13:05:18.617578,B004,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Cc1c(C)nccc1,TRUE,51067-38-0,fea52f4d-1371-42c2-96d6-dfc177e9ae22
8a68e5cc-d330-4449-827c-fb3807e923ea,2022-01-18T13:05:26.957152,2022-01-18T13:05:26.957152,B005,C[N+]12CC(=O)O[B-]1(c1cncc(Br)c1)OC(=O)C2,Cc1cc(C)cnc1,TRUE,1835721-30-6,fea52f4d-1371-42c2-96d6-dfc177e9ae22
53d770a1-28d9-4164-8682-fff95bab4200,2022-01-18T13:05:35.458377,2022-01-18T13:05:35.458377,B006,C[N+]12CC(=O)O[B-]1(c1occc1Br)OC(=O)C2,Cc1c(C)cco1,TRUE,1357387-27-9,fea52f4d-1371-42c2-96d6-dfc177e9ae22
0bbf663e-0396-4e3b-8cb8-23cdcf51eba6,2022-01-18T13:05:43.843514,2022-01-18T13:05:43.843514,B007,Cn1ncc(Br)c1[B-]12OC(=O)C[N+]1(C)CC(=O)O2,Cn1c(C)c(C)cn1,TRUE,108238-09-1,fea52f4d-1371-42c2-96d6-dfc177e9ae22
3ee2661c-523f-4c4a-aac2-4b6a93f9cf9b,2022-01-18T13:05:52.655271,2022-01-18T13:05:52.655271,B008,C[N+]12CC(=O)O[B-]1(c1ccccc1I)OC(=O)C2,Cc1c(C)cccc1,TRUE,1765-93-1,fea52f4d-1371-42c2-96d6-dfc177e9ae22
dfaa460f-a182-4749-a85d-b7c1b19e9ce0,2022-01-18T13:06:01.059985,2022-01-18T13:06:01.059985,B009,C[N+]12CC(=O)O[B-]1(c1cccc(I)c1)OC(=O)C2,Cc1cc(C)ccc1,TRUE,1287221-37-7,fea52f4d-1371-42c2-96d6-dfc177e9ae22
ada98943-ff1b-4d20-9e5e-3b38bb69e5fc,2022-01-18T13:06:09.532823,2022-01-18T13:06:09.532823,B010,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Cc1c(F)c(C)ccc1,TRUE,1257647-82-7,fea52f4d-1371-42c2-96d6-dfc177e9ae22
